Genename,identifier
RPS18A,1109
YHP1,1110
PPN1,1111
TSA2,1112
GUK1,1113
YDR455C,1114
NHX1,1115
TOM1,1116
HEH2,1117
PFA5,1118
TFB3,1119
MFA1,1120
MRPL28,1121
STP1,1122
SPP41,1123
RMT2,1124
PKH3,1125
YDR467C,1126
TLG1,1127
SDC1,1128
UGO1,1129
RPL27B,1130
TRS31,1131
PRP3,1132
YDR474C,1133
JIP4,1134
YDR476C,1135
SNF1,1136
SNM1,1137
PEX29,1138
DIG2,1139
PHO8,1140
CWC21,1141
KRE2,1142
VPS52,1143
VPS72,1144
VPS60,1145
RIB3,1146
PAC11,1147
SLD5,1148
PKH1,1149
YDR491C,1150
IZH1,1151
MZM1,1152
RSM28,1153
VPS3,1154
PUF6,1155
ITR1,1156
SEC20,1157
LCD1,1158
RPL37B,1159
PLM2,1160
SAM2,1161
LPP1,1162
SPG3,1163
PSP1,1164
GMC1,1165
GIN4,1166
GNP1,1167
YDR509W,1168
SMT3,1169
SDH7,1170
EMI1,1171
GRX2,1172
YDR514C,1173
SLF1,1174
EMI2,1175
GRH1,1176
EUG1,1177
FPR2,1178
URC2,1179
YDR521W,1180
SPS2,1181
SPS1,1182
AGE1,1183
API2,1184
SNA2,1185
YDR526C,1186
RBA50,1187
HLR1,1188
QCR7,1189
APA2,1190
CAB1,1191
KRE28,1192
HSP31,1193
FIT1,1194
YDR535C,1195
STL1,1196
YDR537C,1197
PAD1,1198
FDC1,1199
IRC4,1200
YDR541C,1201
PAU10,1202
YDR543C,1203
YDR544C,1204
YRF1-1,1205
YEL077C,1206
YEL075W-A,1207
YEL075C,1208
YEL074W,1209
YEL073C,1210
RMD6,1211
DLD3,1212
DSF1,1213
HXT13,1214
YEL068C,1215
YEL067C,1216
HPA3,1217
SIT1,1218
AVT2,1219
CAN1,1220
NPR2,1221
CIN8,1222
PRB1,1223
SOM1,1224
YEL059W,1225
PCM1,1226
SDD1,1227
HAT2,1228
POL5,1229
RPL12A,1230
MAK10,1231
AFG1,1232
VMA8,1233
RML2,1234
